day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Region,WsiqrO,RainextO,RainiqrO,FFMCiqrO,DMCiqrO,DCiqrO,ISIiqrO,BUIiqrO,FWIiqrO,Classes_notfire,FFMCiqrO_log,FFMCiqrO_reciprocal,FFMCiqrO_square,FFMCiqrO_exponential,FFMCiqrO_Boxcox,ISIiqrO_square,ISIiqrO_exponential,FWIiqrO_square,FWIiqrO_exponential,DMC_log,DMC_reciprocal,DMC_square,DMC_exponential,DMC_Boxcox,BUIiqrO_log,BUIiqrO_reciprocal,BUIiqrO_square,BUIiqrO_exponential,BUIiqrO_Boxcox,DCiqrO_log,DCiqrO_reciprocal,DCiqrO_square,DCiqrO_exponential,DCiqrO_Boxcox,Ws_log,Ws_reciprocal,Ws_square,Ws_exponential,Ws_Boxcox
5,6,2012,32,60,14,0.2,77.1,6.0,17.6,1.8,6.5,0.9,1.0,14.0,0.2,0.2,77.1,6.0,17.6,1.8,6.5,0.9,1,4.345103280569283,0.01297016861219196,8.780660567406077,37.37191178513105,18189946.41164425,1.3416407864998738,1.63202605379844,0.9486832980505138,0.9159436536204298,1.791759469228055,0.16666666666666666,2.449489742783178,4.451018253542414,2.14790589226429,1.8718021769015913,0.15384615384615385,2.5495097567963922,4.758036805828482,2.296887618364764,2.8678989020441064,0.056818181818181816,4.1952353926806065,10.912574538497234,3.098022705127839,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
20,6,2012,30,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,0.0,16.0,0.4,0.4,59.8,3.4,27.1,0.9,5.1,0.4,1,4.091005660956586,0.016722408026755852,7.733045971672482,30.240176384965697,6294783.860484714,0.9486832980505138,0.9159436536204298,0.6324555320336759,0.4659972203002852,1.2237754316221157,0.29411764705882354,1.8439088914585775,2.7726758359805683,1.3835446689495379,1.62924053973028,0.19607843137254904,2.258317958127243,3.8872441031218097,1.945485312297014,3.299533727885655,0.03690036900369004,5.205766033928148,15.63655496235383,3.6065432960118193,2.772588722239781,0.0625,4.0,10.079368399158986,3.846558412128926
31,7,2012,37,55,15,0.0,89.3,28.3,67.2,8.3,28.3,14.5,1.0,15.0,0.0,0.0,89.3,28.3,67.2,8.3,28.3,14.5,0,4.492001487882454,0.011198208286674132,9.44986772394196,42.23860330838233,33593641.09768876,2.8809720581775866,5.833086413991668,3.8078865529319543,9.285529381267091,3.342861804649192,0.0353356890459364,5.319774431308154,16.211456287412815,4.727344648097435,3.342861804649192,0.0353356890459364,5.319774431308154,16.211456287412815,4.861900986547872,4.207673247529104,0.01488095238095238,8.19756061276768,33.32788296634403,4.715310889942373,2.70805020110221,0.06666666666666667,3.872983346207417,9.55159829209756,3.72714146444336
10,8,2012,39,39,15,0.2,89.3,15.8,35.4,8.2,15.8,10.7,1.0,15.0,0.2,0.2,89.3,15.8,35.4,8.2,15.8,10.7,0,4.492001487882454,0.011198208286674132,9.44986772394196,42.23860330838233,33593641.09768876,2.8635642126552705,5.77446221171192,3.271085446759225,7.208083595869123,2.760009940032921,0.06329113924050632,3.9749213828703582,9.974265074908542,3.664830099586707,2.760009940032921,0.06329113924050632,3.9749213828703582,9.974265074908542,3.7492257106750375,3.5667118201397288,0.02824858757062147,5.9497899122574065,19.536018222175223,3.927208997710171,2.70805020110221,0.06666666666666667,3.872983346207417,9.55159829209756,3.72714146444336
25,7,2012,31,65,18,0.0,84.3,12.5,88.7,4.8,18.5,7.3,0.0,18.0,0.0,0.0,84.3,12.5,88.7,4.8,18.5,7.3,0,4.4343818650078095,0.011862396204033215,9.181503144910424,40.25838160582061,26409111.380331017,2.1908902300206643,3.695736772179783,2.701851217221259,5.2412601538439025,2.5257286443082556,0.08,3.5355339059327378,8.205247349318384,3.270889537927044,2.917770732084279,0.05405405405405406,4.301162633521313,11.375655733427633,4.036974575150498,4.485259889315534,0.011273957158962795,9.418067742376884,42.00197220444542,5.065041434654246,2.8903717578961645,0.05555555555555555,4.242640687119285,11.118864069488387,4.069006561267684
13,8,2012,35,34,16,0.2,88.3,16.9,45.1,7.5,17.5,10.5,1.0,16.0,0.2,0.2,88.3,16.9,45.1,7.5,17.5,10.5,0,4.480740107609915,0.011325028312570783,9.396807968666806,41.84406997131973,32050336.25286491,2.7386127875258306,5.360653291788068,3.24037034920393,7.095631982331908,2.8273136219290276,0.0591715976331361,4.110960958218893,10.549671109074751,3.78139605269673,2.8622008809294686,0.05714285714285714,4.183300132670378,10.86088063258194,3.9345194765248377,3.8088822465086327,0.022172949002217293,6.715653356152326,23.90454333947642,4.221821287357038,2.772588722239781,0.0625,4.0,10.079368399158986,3.846558412128926
20,8,2012,35,68,19,0.0,88.3,25.9,130.6,8.8,34.7,16.8,0.0,19.0,0.0,0.0,88.3,25.9,130.6,8.8,34.7,16.8,0,4.480740107609915,0.011325028312570783,9.396807968666806,41.84406997131973,32050336.25286491,2.9664793948382653,6.124475384405158,4.09878030638384,10.497625324432407,3.254242968705492,0.03861003861003861,5.089204259999788,15.057393613900894,4.557844506416288,3.5467396869528134,0.02881844380403458,5.890670590009257,19.21356242162818,5.284669621572362,4.8721392168423305,0.007656967840735069,11.428035701729321,57.981037302890535,5.561157502123173,2.9444389791664403,0.05263157894736842,4.358898943540674,11.631293127556278,4.173106328070799
22,7,2012,28,79,18,0.1,73.4,16.4,79.9,1.8,21.7,2.8,0.0,18.0,0.1,0.1,73.4,16.4,79.9,1.8,21.7,2.8,1,4.29592393562047,0.013623978201634876,8.567379996241558,35.871267003607834,14812762.281311423,1.3416407864998738,1.63202605379844,1.6733200530681511,2.3584772576651876,2.797281334830153,0.06097560975609757,4.049691346263317,10.288921964727956,3.7291913138948467,3.077312260546414,0.04608294930875576,4.658325879540846,12.993209616305665,4.337910749702591,4.380775852772229,0.012515644555694618,8.938679992034618,38.499549655934004,4.932796374685824,2.8903717578961645,0.05555555555555555,4.242640687119285,11.118864069488387,4.069006561267684
7,7,2012,38,43,13,0.5,85.0,13.0,35.4,4.1,13.7,5.2,1.0,13.0,0.5,0.5,85.0,13.0,35.4,4.1,13.7,5.2,0,4.442651256490317,0.011764705882352941,9.219544457292887,40.53676663360685,27337058.348869517,2.0248456731316584,3.240807341021617,2.280350850198276,3.9506581606782434,2.5649493574615367,0.07692307692307693,3.605551275463989,8.477857782354299,3.3355805400399823,2.617395832834079,0.07299270072992702,3.7013511046643495,8.856602216271702,3.4972458660187162,3.5667118201397288,0.02824858757062147,5.9497899122574065,19.536018222175223,3.927208997710171,2.5649493574615367,0.07692307692307693,3.605551275463989,8.477857782354299,3.4684516870375144
16,7,2012,31,83,17,0.0,84.5,19.4,33.1,4.7,19.2,7.3,1.0,17.0,0.0,0.0,84.5,19.4,33.1,4.7,19.2,7.3,0,4.436751534363128,0.011834319526627219,9.192388155425117,40.33795936302119,26671755.364821136,2.16794833886788,3.63146237010507,2.701851217221259,5.2412601538439025,2.9652730660692823,0.051546391752577324,4.404543109109048,11.834995803607057,4.0252093630783445,2.954910279033736,0.052083333333333336,4.381780460041329,11.733232879911492,4.106124417364826,3.4995332823830174,0.030211480362537763,5.75325994545701,18.472400168202242,3.846152632483902,2.833213344056216,0.058823529411764705,4.123105625617661,10.601665591490098,3.960320792728382
4,6,2012,30,64,14,0.0,79.4,5.2,15.4,2.2,5.6,1.0,1.0,14.0,0.0,0.0,79.4,5.2,15.4,2.2,5.6,1.0,1,4.37449836825309,0.012594458438287152,8.910667763978186,38.298675252375524,20565750.649302874,1.4832396974191326,1.9290888640937633,1.0,1.0,1.6486586255873816,0.1923076923076923,2.280350850198276,3.9506581606782434,1.9472129016973563,1.7227665977411035,0.17857142857142858,2.3664319132398464,4.202328731234117,2.0788447288738676,2.7343675094195836,0.06493506493506493,3.924283374069717,9.76338917010816,2.943054050604646,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
26,8,2012,31,78,18,0.0,85.8,45.6,190.6,4.7,57.1,13.7,0.0,18.0,0.0,0.0,85.8,43.474999999999994,145.07500000000002,4.7,46.925,13.7,0,4.4520190064939165,0.011655011655011656,9.262828941527529,40.85445360513573,28427707.422620013,2.16794833886788,3.63146237010507,3.7013511046643495,8.856602216271702,3.8199077165203406,0.021929824561403508,6.752777206453653,24.12518777063742,5.692299055187496,3.8485505824725723,0.021310602024507193,6.850182479321262,24.70796065402771,5.944987494464175,4.977250850076672,0.0068929863863518865,12.044708381691938,63.288841989878506,5.697719502108103,2.8903717578961645,0.05555555555555555,4.242640687119285,11.118864069488387,4.069006561267684
8,6,2012,28,51,17,1.3,71.4,7.7,7.4,1.5,7.3,0.8,1.0,17.0,1.3,1.1875,71.4,7.7,7.4,1.5,7.3,0.8,1,4.268297869345539,0.014005602240896357,8.449852069711044,35.05488202127626,13198705.458478265,1.224744871391589,1.4019828977761006,0.8944271909999159,0.8303126524449708,2.0412203288596382,0.12987012987012986,2.7748873851023217,5.479516903160578,2.511553361978726,1.9878743481543455,0.136986301369863,2.701851217221259,5.2412601538439025,2.471533913546149,2.0014800002101243,0.13513513513513511,2.7202941017470885,5.301023950870279,2.111817904859511,2.833213344056216,0.058823529411764705,4.123105625617661,10.601665591490098,3.960320792728382
15,6,2012,28,90,15,0.0,66.8,7.2,14.7,1.2,7.1,0.6,1.0,15.0,0.0,0.0,66.8,7.2,14.7,1.2,7.1,0.6,1,4.2017030805426,0.014970059880239521,8.17312669668102,33.16248389369537,9994245.392939337,1.0954451150103321,1.1640841385349605,0.7745966692414834,0.6533201332722017,1.9740810260220096,0.1388888888888889,2.6832815729997477,5.181359749278306,2.411921523895609,1.9600947840472698,0.14084507042253522,2.6645825188948455,5.121320520919734,2.429344352971925,2.6878474937846906,0.06802721088435375,3.8340579025361627,9.392137578794555,2.8893234816663704,2.70805020110221,0.06666666666666667,3.872983346207417,9.55159829209756,3.72714146444336
30,9,2012,24,64,15,0.2,67.3,3.8,16.5,1.2,4.8,0.5,1.0,15.0,0.2,0.2,67.3,3.8,16.5,1.2,4.8,0.5,1,4.209160236650682,0.01485884101040119,8.203657720797473,33.36920706410464,10310384.68011655,1.0954451150103321,1.1640841385349605,0.7071067811865476,0.5612310241546865,1.33500106673234,0.2631578947368421,1.9493588689617927,3.041956484825261,1.526582484358094,1.5686159179138452,0.20833333333333334,2.1908902300206643,3.695736772179783,1.8604400668489034,2.803360380906535,0.06060606060606061,4.06201920231798,10.341176569455936,3.0229857697063784,2.70805020110221,0.06666666666666667,3.872983346207417,9.55159829209756,3.72714146444336
3,6,2012,29,80,14,2.0,48.7,2.2,7.6,0.3,2.6,0.1,1.0,14.0,1.9,1.1875,49.46250000000003,2.2,7.6,0.3,2.6,0.1,1,3.9012148067115433,0.02021733636593378,7.032958125852878,25.81646170203233,2849455.0534280003,0.5477225575051661,0.3666635274972341,0.31622776601683794,0.14677992676220694,0.7884573603642703,0.45454545454545453,1.4832396974191326,1.9290888640937633,0.8528509737785278,0.9555114450274363,0.3846153846153846,1.61245154965971,2.2172319256025204,1.059006521849568,2.028148247292285,0.13157894736842105,2.756809750418044,5.420150265939036,2.1415005903796978,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
12,7,2012,31,75,13,0.1,75.1,7.9,27.7,1.5,9.2,0.9,0.0,13.0,0.1,0.1,75.1,7.9,27.7,1.5,9.2,0.9,1,4.318820558770089,0.013315579227696406,8.666025617317317,36.56228089315992,16299080.1208478,1.224744871391589,1.4019828977761006,0.9486832980505138,0.9159436536204298,2.066862759472976,0.12658227848101264,2.8106938645110393,5.597867003181242,2.549954029865581,2.2192034840549946,0.10869565217391305,3.03315017762062,6.355599508587701,2.832663692290409,3.3214324131932926,0.036101083032490974,5.263078946776307,15.924524532295145,3.632654995992379,2.5649493574615367,0.07692307692307693,3.605551275463989,8.477857782354299,3.4684516870375144
15,6,2012,28,80,17,3.1,49.4,3.0,7.4,0.4,3.0,0.1,0.0,17.0,1.9,1.1875,49.46250000000003,3.0,7.4,0.4,3.0,0.1,1,3.9012148067115433,0.02021733636593378,7.032958125852878,25.81646170203233,2849455.0534280003,0.6324555320336759,0.4659972203002852,0.31622776601683794,0.14677992676220694,1.0986122886681098,0.3333333333333333,1.7320508075688772,2.498049532966813,1.226279331714748,1.0986122886681098,0.3333333333333333,1.7320508075688772,2.498049532966813,1.2368680769585145,2.0014800002101243,0.13513513513513511,2.7202941017470885,5.301023950870279,2.111817904859511,2.833213344056216,0.058823529411764705,4.123105625617661,10.601665591490098,3.960320792728382
28,6,2012,32,55,14,0.0,89.1,25.5,88.5,7.6,29.7,13.9,0.0,14.0,0.0,0.0,89.1,25.5,88.5,7.6,29.7,13.9,0,4.489759334476764,0.011223344556677891,9.439279633531363,42.159755802856395,33280553.43237797,2.756809750418044,5.420150265939036,3.7282703764614498,8.964216430999178,3.2386784521643803,0.0392156862745098,5.049752469181039,14.863353847210467,4.5283781375718535,3.391147045808654,0.03367003367003367,5.449770637375485,16.87706958828206,4.960384379873721,4.483002552013883,0.011299435028248588,9.40744386111339,41.92303595627964,5.062176562252014,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
21,7,2012,33,70,17,0.0,85.4,18.5,71.5,5.2,22.4,8.8,0.0,17.0,0.0,0.0,85.4,18.5,71.5,5.2,22.4,8.8,0,4.447346100794524,0.011709601873536299,9.241212041718338,40.69567211941302,27878326.69748237,2.280350850198276,3.9506581606782434,2.9664793948382653,6.124475384405158,2.917770732084279,0.05405405405405406,4.301162633521313,11.375655733427633,3.9405117998215546,3.109060958860994,0.044642857142857144,4.732863826479693,13.341562097354453,4.399019009345542,4.269697449699962,0.013986013986013986,8.455767262643882,35.09579097654613,4.793007933283948,2.833213344056216,0.058823529411764705,4.123105625617661,10.601665591490098,3.960320792728382
8,9,2012,30,88,14,0.0,82.5,6.6,26.1,3.0,8.1,2.7,1.0,14.0,0.0,0.0,82.5,6.6,26.1,3.0,8.1,2.7,0,4.412798293340635,0.012121212121212121,9.082951062292475,39.540754959243976,24132826.811414972,1.7320508075688772,2.498049532966813,1.6431676725154984,2.2880726161504312,1.8870696490323797,0.15151515151515152,2.569046515733026,4.8189595360009045,2.2847415835471923,2.0918640616783932,0.1234567901234568,2.8460498941515415,5.715718730168739,2.6316869683805644,3.261935314328648,0.038314176245210725,5.10881590977792,15.154225873538799,3.5617822758413142,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
21,6,2012,30,78,14,0.0,81.0,6.3,31.6,2.6,8.4,2.2,0.0,14.0,0.0,0.0,81.0,6.3,31.6,2.6,8.4,2.2,0,4.394449154672439,0.012345679012345678,9.0,38.940738398300034,22352639.584526457,1.61245154965971,2.2172319256025204,1.4832396974191326,1.9290888640937633,1.840549633397487,0.15873015873015872,2.5099800796022267,4.635719232347579,2.217633007157244,2.128231705849268,0.11904761904761904,2.898275349237888,5.891593012023373,2.688533532289381,3.4531571205928664,0.03164556962025316,5.621387729022079,17.77211993925595,3.7903646510087516,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
10,7,2012,34,51,16,3.8,77.5,8.0,9.5,2.0,7.7,1.3,1.0,16.0,1.9,1.1875,77.5,8.0,9.5,2.0,7.7,1.3,1,4.350277936359301,0.012903225806451613,8.803408430829505,37.53341540363223,18587310.99057514,1.4142135623730951,1.7817974362806785,1.140175425099138,1.2443793443943703,2.0794415416798357,0.125,2.8284271247461903,5.656854249492381,2.5688622020302305,2.0412203288596382,0.12987012987012986,2.7748873851023217,5.479516903160578,2.5532508568297647,2.2512917986064953,0.10526315789473684,3.082207001484488,6.527842554221777,2.391522932088524,2.772588722239781,0.0625,4.0,10.079368399158986,3.846558412128926
17,7,2012,29,70,14,0.0,82.8,9.4,34.1,3.2,11.1,3.6,0.0,14.0,0.0,0.0,82.8,9.4,34.1,3.2,11.1,3.6,0,4.416428061391214,0.012077294685990338,9.09945053286186,39.66053917082973,24501429.143697802,1.7888543819998317,2.6360783559073053,1.8973665961010275,2.907939838601333,2.2407096892759584,0.10638297872340426,3.0659419433511785,6.470530341002971,2.8154657762709645,2.4069451083182885,0.0900900900900901,3.331666249791536,7.431944919821627,3.1390310087943734,3.529297384289471,0.029325513196480937,5.8395205282625735,18.936308306397247,3.882029734072529,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
7,9,2012,31,62,15,0.0,83.3,5.8,17.7,3.8,6.4,3.2,1.0,15.0,0.0,0.0,83.3,5.8,17.7,3.8,6.4,3.2,0,4.422448549172797,0.012004801920768308,9.126883367283709,39.86001898104484,25125263.632292226,1.9493588689617927,3.041956484825261,1.7888543819998317,2.6360783559073053,1.7578579175523736,0.1724137931034483,2.4083189157584592,4.327030880687091,2.099848752376321,1.8562979903656263,0.15625,2.5298221281347035,4.696957656390623,2.273882669898537,2.8735646395797834,0.05649717514124294,4.207136793592526,10.964219514736017,3.1046223808233715,2.70805020110221,0.06666666666666667,3.872983346207417,9.55159829209756,3.72714146444336
26,9,2012,30,65,14,0.0,85.4,16.0,44.5,4.5,16.9,6.5,1.0,14.0,0.0,0.0,85.4,16.0,44.5,4.5,16.9,6.5,0,4.447346100794524,0.011709601873536299,9.241212041718338,40.69567211941302,27878326.69748237,2.1213203435596424,3.5022227230170477,2.5495097567963922,4.758036805828482,2.772588722239781,0.0625,4.0,10.079368399158986,3.6864987649414545,2.8273136219290276,0.0591715976331361,4.110960958218893,10.549671109074751,3.8708103615929845,3.7954891891721947,0.02247191011235955,6.670832032063167,23.6392308876079,4.205428720352136,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
18,6,2012,33,62,10,8.7,65.5,4.6,8.3,0.9,4.4,0.4,1.0,10.0,1.9,1.1875,65.5,4.6,8.3,0.9,4.4,0.4,1,4.182050142641207,0.015267175572519083,8.093207028119323,32.623790283887914,9206741.700181512,0.9486832980505138,0.9159436536204298,0.6324555320336759,0.4659972203002852,1.5260563034950492,0.2173913043478261,2.1447610589527217,3.5669596213216974,1.7797025303989844,1.4816045409242156,0.22727272727272727,2.0976176963403033,3.437245592399874,1.7402707163454192,2.1162555148025524,0.12048192771084336,2.8809720581775866,5.833086413991668,2.239866704696003,2.302585092994046,0.1,3.1622776601683795,6.812920690579613,3.015225635490083
21,7,2012,36,29,18,0.0,93.9,39.6,80.6,18.5,39.5,30.0,1.0,18.0,0.0,0.0,93.9,39.6,80.6,16.549999999999997,39.5,29.324999999999996,0,4.542230386214217,0.010649627263045794,9.690201236300513,44.044125713229015,41433917.10250967,4.068169121361598,10.367284064995346,5.415256226624923,16.699303224185567,3.6788291182604347,0.025252525252525252,6.29285308902091,21.449276857822312,5.397446176609503,3.676300671907076,0.02531645569620253,6.284902544988268,21.404129982752256,5.56297025920237,4.389498649512583,0.01240694789081886,8.977750274985375,38.78042237257522,4.943808711051362,2.8903717578961645,0.05555555555555555,4.242640687119285,11.118864069488387,4.069006561267684
2,8,2012,35,55,12,0.4,78.0,5.8,10.0,1.7,5.5,0.8,0.0,12.0,0.4,0.4,78.0,5.8,10.0,1.7,5.5,0.8,1,4.356708826689592,0.01282051282051282,8.831760866327848,37.735099740195594,19093261.14848881,1.3038404810405297,1.556111699076326,0.8944271909999159,0.8303126524449708,1.7578579175523736,0.1724137931034483,2.4083189157584592,4.327030880687091,2.099848752376321,1.7047480922384253,0.18181818181818182,2.345207879911715,4.139700367419944,2.05294627126132,2.302585092994046,0.1,3.1622776601683795,6.812920690579613,2.4494151412657654,2.4849066497880004,0.08333333333333333,3.4641016151377544,7.930812913000377,3.3273392694103783
28,7,2012,33,57,16,0.0,87.5,15.7,37.6,6.7,15.7,9.0,1.0,16.0,0.0,0.0,87.5,15.7,37.6,6.7,15.7,9.0,0,4.471638793363569,0.011428571428571429,9.354143466934854,41.52790708582931,30855014.931514036,2.588435821108957,4.879728608619393,3.0,6.240251469155713,2.7536607123542622,0.06369426751592357,3.96232255123179,9.921630376828077,3.653913023852173,2.7536607123542622,0.06369426751592357,3.96232255123179,9.921630376828077,3.7378449435589878,3.6270040503958487,0.026595744680851064,6.131883886702357,20.542653340200538,4.000203324845512,2.772588722239781,0.0625,4.0,10.079368399158986,3.846558412128926
